Sold Item:Lion Helm (ID:474) && [Type] == primalhelm && [Quality] == Magic && [Flag] == identified && [Defense] == 76 && [Durability] == 24 && [MaxDurability] == 35 && [Energy] == 2 && [Defense] == 210 && [Durability] == 24 && [MaxDurability] == 35, StashItem:false, ItemToID:false  (03:45:00)
Sold Item:Scroll of Identify (ID:530) && [Quality] == Normal && [Flag] == identified && , StashItem:false, ItemToID:false  (03:45:00)
Sold Item:Partizan (ID:153) && [Type] == polearm && [Quality] == Magic && [Flag] == identified && [SecondMinDamage] == 34 && [SecMaxDamage] == 75 && [AttackRate] == -10 && [Durability] == 106 && [MaxDurability] == 130 && [AttackRating] == 147 && [SecondMinDamage] == 62 && [SecMaxDamage] == 138 && [AttackRate] == -10 && [Durability] == 106 && [MaxDurability] == 130 && [IncreasedAttackSpeed] == 20, StashItem:false, ItemToID:false  (03:49:06)
Sold Item:Scissors Quhab (ID:188) && [Type] == assassinclaw && [Quality] == Magic && [Flag] == identified && [MinDamage] == 19 && [MaxDamage] == 40 && [Durability] == 42 && [MaxDurability] == 68 && [MinDamage] == 43 && [MaxDamage] == 92 && [Durability] == 42 && [MaxDurability] == 68, StashItem:false, ItemToID:false  (03:59:17)
Sold Item:Wrist Spike (ID:183) && [Type] == assassinclaw && [Quality] == Magic && [Flag] == identified && [MinDamage] == 13 && [MaxDamage] == 27 && [AttackRate] == 10 && [Durability] == 34 && [MaxDurability] == 56 && [MinDamage] == 19 && [MaxDamage] == 48 && [AttackRate] == 10 && [Durability] == 34 && [MaxDurability] == 56, StashItem:false, ItemToID:false  (03:59:17)
Sold Item:Jewel (ID:643) && [Type] == jewel && [Quality] == Magic && [Flag] == identified && [AttackRating] == 10, StashItem:false, ItemToID:false  (03:59:17)
Sold Item:Gothic Sword (ID:129) && [Type] == sword && [Quality] == Unique && [Flag] == identified && [MinDamage] == 14 && [MaxDamage] == 40 && [SecondMinDamage] == 39 && [SecMaxDamage] == 60 && [AttackRate] == -10 && [Durability] == 31 && [MaxDurability] == 40 && [MinDamage] == 36 && [MaxDamage] == 105 && [SecondMinDamage] == 102 && [SecMaxDamage] == 157 && [Defense] == 30 && [MaxLightningResist] == 10 && [LightningMinDamage] == 1 && [LightningMaxDamage] == 240 && [AttackRate] == -10 && [Durability] == 31 && [MaxDurability] == 40 && [LightRadius] == 2 && [AttackerTakesLightDamage] == 15 && [AddSkillTab-OffensiveAurasSkillTab] == 2 && [AddSkillTab-DefensiveAurasSkillTab] == 2 && [SkillOnHit] == 6, StashItem:false, ItemToID:false  (04:09:43)
Sold Item:Jewel (ID:643) && [Type] == jewel && [Quality] == Magic && [Flag] == identified && [ManaAfterKill] == 1, StashItem:false, ItemToID:false  (04:35:02)
Sold Item:Wrist Sword (ID:190) && [Type] == assassinclaw && [Quality] == Magic && [Flag] == identified && [MinDamage] == 34 && [MaxDamage] == 45 && [AttackRate] == 10 && [Durability] == 82 && [MaxDurability] == 112 && [MinDamage] == 34 && [MaxDamage] == 45 && [ColdMinDamage] == 1 && [ColdMaxDamage] == 1 && [ColdLength] == 2 && [AttackRate] == 10 && [Durability] == 82 && [MaxDurability] == 112 && [SingleSkill-Skilldragonflight] == 1, StashItem:false, ItemToID:false  (04:52:34)
Sold Item:Wrist Blade (ID:176) && [Type] == assassinclaw && [Quality] == Magic && [Flag] == identified && [MinDamage] == 5 && [MaxDamage] == 9 && [Durability] == 37 && [MaxDurability] == 52 && [MinDamage] == 6 && [MaxDamage] == 11 && [Durability] == 37 && [MaxDurability] == 52, StashItem:false, ItemToID:false  (04:59:31)
Sold Item:Maiden Javelin (ID:285) && [Type] == amazonjavelin && [Quality] == Magic && [Flag] == identified && [MinDamage] == 8 && [MaxDamage] == 14 && [AttackRate] == 10 && [Quantity] == 78 && [Durability] == 4 && [MaxDurability] == 6 && [ThrowMinDamage] == 6 && [ThrowMaxDamage] == 22 && [MinDamage] == 8 && [MaxDamage] == 71 && [AttackRate] == 10 && [Quantity] == 78 && [Durability] == 4 && [MaxDurability] == 6 && [ThrowMinDamage] == 6 && [ThrowMaxDamage] == 79 && [AddSkillTab-JavelinandSpearSkillTab] == 1, StashItem:false, ItemToID:false  (05:11:20)
